source,title,date
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Internship@samsung.electronics/2021-03-19-cis_overview.md,Introduction to CMOS Image Sensor,2021-03-19T14:28:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Internship@samsung.electronics/2021-04-06-isscc2018.md,ISSCC Paper Review: LiDAR Sensor using TDC/ADC hybrid SoC by Yoshioka(2018),2021-04-06T14:25:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Internship@samsung.electronics/2021-06-24-opamp_paper_review.md,JSSC Paper Study: Rail-to-Rail Op-Amp by Hogervost(1994),2021-06-24T14:25:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Internship@samsung.electronics/2021-07-23-tmc.md,TMC: Temperature Management on CIS using chopper,2021-07-23T14:28:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Internship@samsung.electronics/2021-08-17-isscc_2019.md,ISSCC Paper Review: THz Imager by Yokoyama(2019),2021-08-17T14:25:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Research@Gatech/2025-12-16-pino.md,Accelerating Semiconductor Design: AI Surrogate Modeling with PINO using NVIDIA PhysicsNeMo Framework,2025-12-16T12:00:00-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Research@Gatech/2026-03-22-irps.md,IRPS 2026: PINN-Assisted Compact Modeling for nvCAP Arrays,2026-03-22T08:00:00-07:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Research@HSNL/2020-01-02-trendcmos.md,Scaling Trend of Semiconductor,2020-01-02T14:25:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Research@ICSL/2020-11-03-pjs.md,ISSCC 2018 Paper: Period Jitter-Sensor Using Stochastic TDC,2020-10-03T14:25:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Signal_processing/2022-10-31-multithreading,Multi-threading and processing on signal processing,2022-10-31-02T14:28:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Signal_processing/2022-12-18-cc_viterbi,Convolutional Codes & Viterbi Decoding by MATLAB,2022-12-18T14:28:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/Signal_processing/2023-04-14-deep_learning_lora,Deep Learning-based LoRa Signal Demodulation: Paper review and Implementation,2023-04-14T14:28:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/deprecated/2019-11-04-fabless,Classification of the Semiconductor Company: Fabless and Foundry,2019-11-04T14:25:52-05:00
/Users/apple/Kyu/Code/gyulab.github.io/_posts/deprecated/2020-12-22-2020farrange,Review on 2020 Fall Semester,2020-12-22T14:28:52-05:00
